2020-21,Agroecology B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Social-Sciences-Division/Environmental-Studies/Agroecology-BA
Plan One for Incoming Frosh
,Fall,Winter,Spring
1st (frosh),"MATH 3 or 
AM 3",SOCY/ANTH/ethics course,"ENVS 23 or 
CHEM 1A"
1st (frosh),ENVS 80F,ENVS 25,
1st (frosh),,,
2nd (soph),"ENVS 24 or 
BIOE 20C",ENVS 100 & ENVS 100L*,Upper-division elective
2nd (soph),STAT 7 & STAT 7L,,"ENVS 83 or 
ENVS 184 or 
ENVS 199F"
2nd (soph),,,
3rd (junior),ENVS 130A & ENVS 130L,ENVS 130B,"ENVS 130C or
ENVS 133"
3rd (junior),,"ENVS 133 or 
ENVS 135",
3rd (junior),,,
4th (senior),Upper-division elective,Upper-division elective,Upper-division elective
4th (senior),,,Comprehensive requirement
Plan Two for Incoming Transfer Students
,Fall,Winter,Spring
3rd (junior),STAT 7 & STAT 7L,ENVS 100 & ENVS 100L*,"ENVS 130C or 
ENVS 133"
3rd (junior),ENVS 80F,ENVS 130B,Upper-division elective
3rd (junior),"ENVS 83 or 
ENVS 184 or 
ENVS 199F",,
4th (senior),ENVS 130A & ENVS 130L,"ENVS 133 or
ENVS 135",ENVS 130C
4th (senior),Upper-division elective,Upper-division elective,Upper-division elective
2020-21,Anthropology B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Social-Sciences-Division/Anthropology/Anthropology-BA
Four-Year Plan
Year,Fall,Winter,Spring
1st (frosh),ANTH 1,ANTH 2,ANTH 3
1st (frosh),,,
1st (frosh),,,
2nd (soph),Bio/Med/Env,Sociocultural,Archaeology
2nd (soph),,,
2nd (soph),,,
3rd (junior),Theory,Regional,Upper-division elective
3rd (junior),,,Upper-division elective
3rd (junior),,,
4th (senior),Upper-division elective,Upper-division elective,Senior Seminar*
Senior Seminar*,,,
Two-Year Plan
Year,Fall,Winter,Spring
3rd (junior),Theory,Regional,Archaeology
3rd (junior),Upper-division elective,Sociocultural,Bio/Med/Env
3rd (junior),,,
4th (senior),Upper-division elective,Upper-division elective,Senior Seminar*
Senior Seminar*,Upper-division elective,,
2020-21,Applied Linguistics and Multilingualism B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Humanities-Division/Languages-and-Applied-Linguistics/Applied-Linguistics-and-Multilingualism-BA
Four-Year Planner
Year,Fall,Winter,Spring
1st (frosh),Language 1,Language 2,Language 3
1st (frosh),,,
1st (frosh),,,
2nd (soph),Language 4,Language 5,Language 6
2nd (soph),,,
2nd (soph),,,
3rd (junior),APLX 80,APLX 101,LING 111 or LING 112
3rd (junior),LING 50,LING 101,APLX elective
3rd (junior),,,
4th (senior),Adv Language course,Adv Language course,APLX 190-capstone
4th (senior),APLX elective,APLX elective,Non-APLX elective
Transfer Planner
Year,Fall,Winter,Spring
1st (junior),APLX 80,APLX 101,LING 111 or LING 112
1st (junior),LING 50,LING 101,APLX elective
1st (junior),Language 4,Language 5,Language 6
2nd (senior),Adv Language course,Adv Language course,APLX 190-capstone
2nd (senior),APLX elective,APLX elective,Non-APLX elective
2020-21,Applied Mathematics B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Baskin-School-of-Engineering/Applied-Mathematics/Applied-Mathematics-BS
,Fall,Winter,Spring
1st Year,MATH 19A,CSE 20,AM 20
1st Year,AM 10,Lower div elective,CSE 16
1st Year,,MATH 19B,
2nd Year,AM 30,,STAT 131
2nd Year,,Lower-div elective,
2nd Year,,,
3rd Year,AM 100,AM 170A,Upper-div elective
3rd Year,AM 114,AM 112,
3rd Year,Upper-div elective,,
4th Year,AM 129,AM 147,AM 170B
,Fall,Winter,Spring
1st Year,MATH 2,MATH 3,MATH 19A
1st Year,,Lower div elective,Lower div elective
1st Year,,,
2nd Year,AM 10,AM 20,AM 30
2nd Year,MATH 19B,CSE 20,CSE 16
2nd Year,,,
3rd Year,AM 100,AM 112,
3rd Year,AM 114,STAT 131,Upper-div elective
3rd Year,Upper-div elective,,
4th Year,AM 129,AM 147,AM 170B
,Fall,Winter,Spring
Junior Year,CSE 20,AM 112,Upper-div elective
Junior Year,AM 100,STAT 131,
Junior Year,Lower-div elective,Lower-div elective,
Senior Year,AM 114,AM 170A,AM 170B
Senior Year,AM 129,AM 147,
,Fall,Winter,Spring
Junior Year,CSE 20,AM 212A,Upper-div elective
Junior Year,AM 100,STAT 131,
Junior Year,Lower-div elective,Lower-div elective,
Senior Year,AM 129,AM 147,AM 170B
Senior Year,AM 214,AM 170A,Upper-div elective
Senior Year,Upper-div elective,,
M.S. Year,M.S. elective,AM 213A,AM 213B
M.S. Year,M.S. elective,,AM 250
2020-21,Applied Physics B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Physics/Applied-Physics-BS
Applied Physics B.S.: Freshman Academic Plan
Plan 1: For students who place into MATH 19A or MATH 20A.
,Fall,Winter,Spring
1st (frosh),"MATH 19A
            or MATH 20A","MATH 19B
            or MATH 20B",MATH 23A
1st (frosh),,,PHYS 5B & PHYS 5M
1st (frosh),,PHYS 5A & PHYS 5L*,CHEM 1A or CHEM 1B
2nd (soph),PHYS 5C & PHYS 5N,MATH 23B,PHYS 105
2nd (soph),PHYS 5D,CSE 20,PHYS 116C
2nd (soph),PHYS 116A,PHYS 116B,
3rd (junior),PHYS 102,PHYS 110B,PHYS 134
3rd (junior),PHYS 110A,PHYS 112,Elective
3rd (junior),PHYS 133,,
4th (senior),Elective,PHYS 182**,Elective
4th (senior),,,
Applied Physics B.S.: Transfer Academic Plan One
,Fall,Winter,Spring
1st (junior),MATH 23B,CSE 20,PHYS 105
1st (junior),PHYS 102,PHYS 116B,PHYS 116C
1st (junior),PHYS 116A,Elective,PHYS 133
2nd (senior),PHYS 110A,PHYS 110B,PHYS 134
2nd (senior),CHEM 1A or CHEM 1B,PHYS 112,Elective
Applied Physics B.S.: Transfer Academic Plan Two
,Fall,Winter,Spring
1st Year,MATH 23B,PHYS 102,PHYS 105
1st Year,PHYS 5D,CSE 20,PHYS 133
1st Year,PHYS 116A,PHYS 116B,PHYS 116C
2nd Year,PHYS 110A,PHYS 110B,Elective
2nd Year,CHEM 1A or CHEM 1B,PHYS 112,PHYS 182*
2020-21,Art and Design: Games and Playable Media B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Arts-Division/Art-and-Design-Games-and-Playable-Media/Art-and-Design-Games-and-Playable-Media-BA
Art and Design: Games and Playable Media B.A. Planner
,Fall,Winter,Spring,Summer
1st (frosh),ARTG 80I,CMPM 80K,CSE 20,
1st (frosh),"^MATH 3, Precalculus",ARTG 80H,HAVC elective,
1st (frosh),,,,
2nd (soph),CSE 30,CMPM 35,CMPM 120*,
2nd (soph),"Lower-division
            arts elective**",FILM 80V,ARTG 120*,
2nd (soph),,,,
3rd (junior),Media Creation elective 1,Media Creation elective 2,Media Creation elective 3,
3rd (junior),GD/HCI elective 1,"GD/HCI
            elective 2",Media Creation elective 4,
3rd (junior),,,,
4th (senior),ARTG 170,ARTG 171,ARTG 172,
4th (senior),,,,
Transfer Students Planner
,Fall,Winter,Spring,Summer
1st (junior),"Lower-division
            arts elective**",ARTG 80H,CMPM 120*,
1st (junior),CMPM 35,CMPM 80K,ARTG 120*,
1st (junior),ARTG 80I,FILM 80V,Media Creation elective 1,
2nd (senior),ARTG 170,ARTG 171,ARTG 172,
2nd (senior),"GD & HCI
            elective 1","GD & HCI
            elective 2",Media Creation elective 3,
2020-21,Art B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Arts-Division/Art/Art-BA
Art Major Planner (Incoming Frosh)
Year,Fall,Winter,Spring
1st (frosh),ART 10E,ART 10D,ART 10F
1st (frosh),,,
1st (frosh),,,
2nd (soph),ART 20 series,ART 20 series,ART 20 series
2nd (soph),HAVC*,ART 80T,HAVC*
2nd (soph),,,
3rd (junior),UD studio,ART 190A,UD Studio
3rd (junior),,UD studio,
3rd (junior),,,
4th (senior),UD studio,UD studio,UD studio or ART 190B
4th (senior),UD studio,,
Art Major Planner (Junior Transfers)
Year,Fall,Winter,Spring
1st (junior),UD studio,ART 190A,UD studio
1st (junior),ART 10_ �,ART 80T,HAVC*
1st (junior),,,
2nd (senior),UD studio,UD studio,UD studio
2nd (senior),HAVC*,UD studio,UD studio or ART 190B
2020-21,Biochemistry and Molecular Biology B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Chemistry-and-Biochemistry/Biochemistry-and-Molecular-Biology-BS
Sample Four-Year Planner
,Fall,Winter,Spring
1st (frosh),"MATH 11A
            or MATH 19A","MATH 11B
            or MATH 19B",BIOL 20A
1st (frosh),CHEM 1A,CHEM 1B & CHEM 1M,CHEM 1C & CHEM 1N
1st (frosh),,,
2nd (soph),BIOE 20B,*MATH 22 (optional),BIOL 105
2nd (soph),CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,"STAT 5
            or STAT 7 & STAT 7L"
2nd (soph),,BIOL 20L,
3rd (junior),BIOC 100A,BIOC 100B,BIOC 100C
3rd (junior),BIOL 101L,PHYS 6A & PHYS 6L,PHYS 6B & PHYS 6M
3rd (junior),,,
4th (senior),"BIOC 163A
            or *CHEM 163A","BIOC 163B
            or CHEM 163B",Senior exit lab
Senior exit lab,PHYS 6C & PHYS 6N,BIOL 115,BIOL 110
Sample Transfer Two-Year Planner
Sample Transfer Two-Year Planner
,Fall,Winter,Spring
1st (junior),BIOC 100A,BIOC 100B,BIOC 100C
1st (junior),BIOL 101L,PHYS 6A & PHYS 6L,PHYS 6B & PHYS 6M
1st (junior),"STAT 5
            or STAT 7 & STAT 7L",,BIOL 105
2nd (senior),"BIOC 163A
            or *CHEM 163A","BIOC 163B
            or CHEM 163B",Senior exit lab
Senior exit lab,PHYS 6C & PHYS 6N,BIOL 115,BIOL 110
2020-21,Biology B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Ecology-and-Evolutionary-Biology/Biology-BA
Sample Frosh Planner
1st (frosh),BIOE 20C,CHEM 1A,CHEM 1B
1st (frosh),,,STAT 5 or STAT 7 & STAT 7L
1st (frosh),,,
2nd (soph),BIOL 20A,BIOE 20B,BIOL 105
2nd (soph),,PHYS 1,
2nd (soph),,,
3rd (junior),BIOE 109,BIOE 107,Anatomy/Physiology
3rd (junior),Biology elective*,,
3rd (junior),,,
4th (senior),Biology elective*,Biology elective*,Biology elective*
4th (senior),,,
Sample Transfer Planner
,Fall,Winter,Spring
3rd (junior),BIOL 105,BIOE 107,Anatomy/Physiology
3rd (junior),,BIOE 109,STAT 5 or STAT 7 & STAT 7L
3rd (junior),,,
4th (senior),Biology elective*,Biology elective*,Biology elective*
4th (senior),Biology elective*,PHYS 1,
Transfer student sample planner
2020-21,Biology B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Molecular-Cell-and-Developmental-Biology/Biology-BS
Sample Biology B.S. Frosh Four-Year Planner
,Fall,Winter,Spring
1st (frosh),CHEM 1A,CHEM 1B,CHEM 1C & CHEM 1N
1st (frosh),MATH 11A,MATH 11B,BIOL 20A
1st (frosh),,,
2nd (soph),BIOE 20B & BIOL 20L,BIOL 100,BIOL 101 & BIOL 101L
2nd (soph),,CHEM 8B,
2nd (soph),CHEM 8A & CHEM 8L,,BIOL 105
3rd (junior),BIOL 110,UD elective,UD elective
3rd (junior),BIOE 20C,BIOE 107,BIOE 109
3rd (junior),,,
4th (senior),PHYS 6A & PHYS 6L,"STAT 5 OR
STAT 7 & STAT 7L",Laboratory
4th (senior),UD elective,PHYS 6B OR PHYS 6C,
Sample Biology B.S. Transfer Two-Year Planner
,Fall,Winter,Spring
3rd (junior),BIOL 105,BIOL 100,BIOL 101 & BIOL 101L
3rd (junior),PHYS 6A & PHYS 6L,PHYS 6B or PHYS 6C,BIOE 107
3rd (junior),,,
4th(senior),BIOL 110,UD elective,UD elective
4th(senior),BIOE 109,Laboratory,UD elective
2020-21,Biomolecular Engineering and Bioinformatics B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Baskin-School-of-Engineering/Biomolecular-Engineering/Biomolecular-Engineering-and-Bioinformatics-BS
Sample Plan:  Biomolecular  Engineering Concentration
Year,Fall,Winter,Spring
1st (frosh),CHEM 1A,MATH 19B,AM 10
1st (frosh),MATH 19A,CHEM 1B & CHEM 1M,CHEM 1C & CHEM 1N
1st (frosh),,,BME 21L
2nd (soph),BME 22L,BME 23L,BME 105
2nd (soph),CHEM 8A,CHEM 8B,PHYS 5B & PHYS 5M
2nd (soph),BIOL 20A,PHYS 5A & PHYS 5L,
2nd (soph),,AM 20,
3rd (junior),BIOC 100A,BIOC 100B,AM 115
3rd (junior),BME 110,BME 160,BME 163
3rd (junior),BME 185,STAT 131,
4th (senior),BME 129A,BME 129B,BME 129C
Sample Plan:  Biomolecular  Engineering Concentration (CHEM 8A & CHEM 8B In summer after first year)
