"3rd
			(junior)",BME 185,BME 160,BME 105,
"3rd
			(junior)",,,,
"4th
			(senior)",BME 132*,BME 175,,
"4th
			(senior)",BME 140*,BME 110,,
2023-24,Business Management Economics B.A.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/social-sciences-division/economics/business-management-economics-ba
Sample Frosh Planner
,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),MATH 3 or AM 3,ECON 1,ECON 2,
1st (frosh),,AM 11A/ECON 11A,AM 11B/ECON 11B,
1st (frosh),,WRIT 1/WRIT 1E (if needed),,
2nd (soph),ECON 100A,ECON 100B,ECON 113,
2nd (soph),ECON 10A,STAT 17 & STAT 17L,ECON 10B,
2nd (soph),WRIT 2*,,,
3rd (junior),Econ elective,Business Management elective,Business Management elective,
3rd (junior),,Computer Course,,
3rd (junior),,,,
4th (senior),Business Management elective,ECON 104 or ECON 197,Field Study (optional),
4th (senior),Computer course,"ECON 101, ECON 133 or ECON
            135 (Business Management elective)",,
Sample Transfer Planner
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
3rd (junior),AM 11B/ECON 11B,ECON 100A,ECON 100B,
3rd (junior),ECON elective,Computer course,Business Management elective,
3rd (junior),ECON 10A,ECON 10B,STAT 17 & STAT 17L,
3rd (junior),,,,
4th (senior),ECON 113,Business Management elective,Field Study (optional),
4th (senior),Business Management elective,"ECON 101, ECON 133 or ECON
            135 (Business Management elective)",Computer Course,
Sample Frosh Planner
,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),MATH 3 or AM 3,ECON 1,ECON 2,
1st (frosh),Writing course,AM 11A/ECON 11A,AM 11B/ECON 11B,
1st (frosh),College 1,WRIT 1/WRIT 1E (if needed),,
2nd (soph),ECON 100A,ECON 100B,ECON 113,
2nd (soph),ECON 10A,ECON 10B,ECON 110,
2nd (soph),WRIT 2**,STAT 17 & STAT 17L,Computer Literacy course,
3rd (junior),ECON 111A,ECON 111B,ECON 111C,
3rd (junior),ECON elective,ECON 112,ECON 116,
3rd (junior),,Ethics course (optional)*,,
4th (senior),ECON 117B,ECON 117A,,
4th (senior),Field Study internship (optional),ECON 104 or ECON 197,Field Study (optional),
Sample Transfer Planner
,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
3rd (junior),AM 11B/ECON 11B,ECON 100A,ECON 100B,
3rd (junior),ECON 111A,ECON 111B,ECON 111C,
3rd (junior),Computer literacy course,Ethics course (optional)*,STAT 17 & STAT 17L,
4th (senior),ECON 113,"ECON 101, ECON 133 or ECON 135",ECON 110,
4th (senior),ECON 117B,ECON 117A,ECON 116,
2023-24,Chemistry B.A.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/physical-and-biological-sciences-division/chemistry-and-biochemistry/chemistry-ba
,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),MATH 11A or MATH 19A,MATH 11B or MATH 19B,"CHEM 3C and CHEM 3CL
            (not required if CHEM 4
            series completed)",
1st (frosh),"CHEM 3A or
CHEM 4A and CHEM 4AL","CHEM 3B and CHEM 3BL or
CHEM 4B and CHEM 4BL",,
1st (frosh),College Core,WRIT 1/WRIT 1E (if needed),,
2nd (soph),CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,CHEM 110 & CHEM 110L,
2nd (soph),PHYS 6A & PHYS 6L,MATH 22,PHYS 6B & PHYS 6M,
2nd (soph),WRIT 2**,,,
